season,episode_number,title,airdate,rating,total_votes,desc
3,13,Peaceful Waters,3/28/1984,9.8,15,"Talented guest artist Steve Ross creates clear blue skies, an almighty mountain and lake lined generously with trees and bushes."
4,1,Purple Splendor,9/5/1984,9.2,18,"Bob Ross will fascinate you with this crimson winter scene, where cabin and snow are virtually undisturbed and the evergreens are full."
4,2,Tranquil Valley,9/12/1984,9.8,15,Envision yourself in a world of purple mountain tops and glistening waters that reflect the glowing sky; a magical Bob Ross scene.
4,3,Majestic Mountains,9/19/1984,9.8,17,On a clear day Bob Ross creates an almighty mountain captured by a clear blue sky - another spectacular masterpiece on canvas.
4,4,Winter Sawscape,9/26/1984,9.7,15,Something new and different -- paint a wintry country scene on a wooden saw blade with guest artist Dorothy Dent.
4,5,Evening Seascape,10/3/1984,9.5,17,"Bob Ross begins with a black acrylic, and contrasts softly blended clouds with stark, misty, rock ledges. In the foreground, a twilight beach reflects breaking waves and sparkling foam."
4,6,Warm Summer Day,10/10/1984,9.6,16,Grab a cold lemonade and follow along with Bob Ross as he leads you through wooded beauty into a hot summer swimming spot.
4,7,Cabin in the Woods,10/17/1984,9,21,Enjoy the peacefulness of the calm evening as you take a walk with Bob Ross through the enchanted timber lands just before nightfall.
4,8,Wetlands,10/24/1984,9.8,16,Feel the warm swampy air and admire the overgrown trees with hanging Spanish moss and velvety bushes - all Bob Ross style of course.
4,9,Cool Waters,10/31/1984,9.8,16,"Bob Ross captures the beauty of Alaska on canvas: clear skies, soft cottony clouds, snow covered mountains and breathtaking crystal lake."
4,10,Quiet Woods,11/7/1984,9.6,14,"A peaceful backround of softly, gentle, lavender mist, shares the canvas with dark evergreens of thalo green and alizarin crimson, reminding Bob Ross of North Pole, Alaska."
4,11,Autumn Glory,11/14/1984,9.6,14,"Tall leafy trees, almighty mountains and puffy white clouds; a fresh and innovative painting by guest artist Diane Andre."
4,12,Autumn Days,11/21/1984,9.8,18,"In the still of the night, trees reflect off the glistening pond and cool breeze of blows as Bob Ross takes you on this black canvas adventure."
4,13,Mountain Challenge,11/28/1984,9.3,16,"Here it is. Impressive skies, misty waters and snowy mountains - completed by Bob Ross using just his specially designed painting knife."
5,1,Mountain Waterfall,1/2/1985,9.8,18,"Bob Ross creates a tiny waterfall tucked beside a glassy lake, while surrounded by snowy majestic peaks and distant evergreens."
5,2,Twilight Meadow,1/9/1985,9.8,13,Crisp blue sky and lake embrace soft rolling hills and leafy trees - Bob Ross paints the stillness of evening perfectly on black canvas.
5,3,Mountain Blossoms,1/16/1985,9.6,14,Guest Artist Dan Jester shares with us the beauty of sweet lavender clusters nestled in the heart of a snowy winter forest.
5,4,Winter Stillness,1/23/1985,9.7,13,"Ice cold pond, snowy-covered banks, soft hues in the sky. Bob Ross teaches us to admire the simple beauty of nature."
5,5,Quiet Pond,1/30/1985,9.6,13,"Take a journey with Bob Ross and discover the beauty of a shimmering pool gently cradled by a soft, beautiful and bright forest."
5,6,Ocean Sunrise,2/6/1985,9.7,13,Watch as the sun comes up into the golden sky and creates an illusion on the calm morning sea in this painting by guest artist Audrey Golden.
5,7,Bubbling Brook,2/13/1985,9.8,13,In the evening light Bob Ross creates a fast flowing little waterfall happily running through the lush green meadow grass.
5,8,Arizona Splendor,2/20/1985,9.6,12,"In this brilliant southwestern scene Bob Ross portrays a unique view of nature with clear blue skies, dry mountains and graceful river."
5,9,Anatomy of a Wave,2/27/1985,9.6,12,"Guest Artist Joyce Ortner captures the true beauty of the ocean waves, blue and enchanting in this breathtaking seascape masterpiece."
5,10,The Windmill,3/6/1985,9.6,12,"Bob Ross creates a proud strong windmill, standing in watch beside old farm buildings where happy little animals lay still in the night."
5,11,Autumn Glory,3/13/1985,9.8,12,In this landscape Bob Ross paints a far away mountain snuggled in with bright green trees and bushes mirrored in glistening waters.
5,12,Indian Girl,3/20/1985,9.5,12,"Guest artist Ferne Sirois shares her own American Indian heritage in this adorable portrait of a playful, smiling little child."
5,13,Meadow Stream,3/27/1985,9.5,13,Bob Ross paints a beautiful summer scene today - rushing little river let flowing through the luscious greenery of a cabin landscape.
6,1,Blue River,5/1/1985,9.6,14,"Luscious green grass and fresh evergreens, purple and pink sky, giving the water a perfect glow in this Bob Ross black canvas masterpiece."
6,2,Nature's Edge,5/8/1985,9.8,12,"Imagine yourself nestled in a Bob Ross cabin, hidden in the midst of the plush green forest surrounded by the sounds of nature."
6,3,Morning Mist,5/15/1985,9.8,12,"Fresh morning lake and succulent evergreens -- watch Bob Ross create a peaceful, dewy brown mountain scene."
6,4,Whispering Stream,5/22/1985,9.7,12,"Narrow, winding, rocky - this little Bob Ross style creek moves closer and closer, flowing aimlessly through a happy little meadow forest."
6,5,Secluded Forest,5/29/1985,9.5,15,"Enjoy another black canvas painting -- Bob Ross creates the deep forest with tall majestic trees, rain puddles and dark fresh air."
6,6,Snow Trail,6/5/1985,9.5,12,"A brisk quiet day, follow Bob Ross along a trail covered in fresh white snow, surrounded by warm colors and fuzzy bark trees."
6,7,Arctic Beauty,6/12/1985,9.5,14,Discover a purple night-sky scene with mountain overlooking a little falling river -- Bob Ross creates a spectacular masterpiece today.
6,8,Horizons West,6/19/1985,9.8,12,"Take a hike with Bob Ross to the southwestern region, see the beauty of fresh skies over sun glistened mountains and silvery mere."
6,9,High Chateau,6/26/1985,9.5,13,"Uncover a secret little loft hidden in the woods, surrounded by evergreens and roughly green bushes and grass. Bob Ross unveils it all."
6,10,Country Life,7/2/1985,9.8,12,Bob Ross takes us home to the farm -- a big red barn and long rickety wooden fence - capturing our very vivid childhood memories.
6,11,Western Expanse,7/9/1985,9.7,12,"Powerful clouds, rolling hills and winding river waters -- Bob Ross creates this masterpiece using only his special painting knife."
6,12,Marshlands,7/16/1985,9.5,15,Bob Ross takes us deep into the southeastern peninsula to create a beautiful scene with still blue waters and bright green mossy trees.
6,13,Blaze of Color,7/26/1985,9.8,12,"Evening sky sets in, giving way to a perfect glow -- watch a black canvas come to life under the magic brushes of Bob Ross."
7,1,Winter Cabin,10/2/1985,9.3,14,"In the midst of a cold, wintry forest, Bob Ross gently places a magical little wooden shanty upon a bed of soft snow."
7,2,Secluded Lake,10/9/1985,9.6,11,"With brush in hand, Bob Ross leads you on a summertime nature walk, as you uncover the beauty of leafy trees and pond."
7,3,Evergreen at Sunset,10/16/1985,9.7,12,"Using a different technique or two, Bob Ross creates a fascinating scene - watch the sun drop below the horizon, just behind the shadow of trees."
7,4,Mountain Cabin,10/23/1985,9.8,11,"To capture the innocence of a stream-side cottage, Bob Ross creates a giant mountain standing majestically in the distance."
7,5,Portrait of Sally,10/30/1985,9,11,"Visiting artist, Ben Stahl, uses a more traditional painting method to bring out the coy loveliness of a little girl."
7,6,Misty Waterfall,11/6/1985,9.6,11,"Bob Ross helps a timid little stream find its way to a delightful waterfall, while gazing upon a forest of elegant trees."
7,7,Barn at Sunset,11/13/1985,9.6,12,Bob Ross paints an expansive barn appearing half-covered in a snowy setting of frost bitten foliage and sun-kissed sky.
7,8,Mountain Splendor,11/20/1985,9.7,11,"Bob Ross reproduces the opening painting for Season Seven episodes. Under a bright sky, mountains are highlighted with sienna and white. Foreground foliage is done with the round brush, with stunning water reflections."
7,9,Lake by Mountain,11/27/1985,9.4,11,Talented guest painter Steve Ross shows you how to create a mirror-like lake spanning the width of snowy peaks and foothills.
7,10,Mountain Glory,12/4/1985,9.5,11,"Layers and layers of mountains, as far as the eye can see, Bob Ross shows us the secret to creating a larger-than-life landscape."
7,11,Grey Winter,12/11/1985,9.4,12,Bob Ross uses monochromatic tones to convey the icy coldness of a silvery lake surrounded by lacy trees and bushes - brr.
7,12,Dock Scene,12/18/1985,9.5,11,"Harbor mist, reflections, and a happy little boat provide a backround for a weathered pier where, ""pelicans can park."" Bob Ross paints old wood on buildings with a light, bounce and shake of his two-inch brush."
7,13,Dark Waterfall,12/25/1985,9.5,12,Watch Bob Ross create a sweet little waterfall in the middle of a protective forest of glorious early autumn foliage.
8,1,Misty Rolling Hills,1/2/1986,8.4,12,"Bob Ross creates soft purple sky and tall trees that almost seem to float in the hazy foothills of a distant, blue-grey mountain."
8,2,Lakeside Cabin,1/9/1986,,12,"A cabin has found a peaceful resting place amongst a warm setting of lush, lakeside greenery in this wonderful oval creation by Bob Ross."
8,3,Warm Winter Day,1/16/1986,9,12,"The field of snow and the little cabin yield to the bright, orange sun - Bob Ross conveys harmony in this cold, but cozy scene."
8,4,Waterside Way,1/23/1986,,12,A wilderness path leads you to the side of a still lake in a setting that Bob Ross accents with an abundance of trees.
8,5,Hunter's Haven,1/30/1986,,12,"Bob Ross' exciting use of blue, yellow and orange hues brings vibrancy to this wood side setting and dream cabin beside a clear blue lake."
8,6,Bubbling Mountain Brook,2/6/1986,,12,A playful brook appears the perfect complement to a range of rugged mountains in this Bob Ross setting on canvas.
8,7,Winter Hideaway,2/13/1986,8.8,12,Bob Ross puts a lonesome cabin in the middle of a snowy setting as an unexpected place of respite for the weary traveler.
8,8,Foot of the Mountain,2/20/1986,,12,"A lake and some tall trees pay homage to a commanding mountain in the background, as a cabin stands nearby, a classic Bob Ross creation."
8,9,Majestic Pine,2/27/1986,,12,Bob Ross paints a golden field of sparse pines and other greenery inside the unique shape of a tapered rectangle with cut-in corners.
8,10,Cactus at Sunset,3/6/1986,,12,"A path of cacti and rocks lead right up to a bold sun setting in a dramatic red sky, all from the delicate motions of Bob Ross' paint brush."
8,11,Mountain Range,3/13/1986,,12,Guest painter Steve Ross uses lots of color in this stirring depiction of giant peaks behind foothills opening onto a smooth lake.
8,12,Lonely Retreat,3/20/1986,,12,"A real Bob Ross favorite, he uses blue and red highlights to accentuate the drama and beauty of a snow-bound cabin at sunset."
8,13,Northern Lights,3/27/1986,,12,Bob Ross begins with a black canvas to create this startling rendition of a snowy landscape with the notorious lights of the northern sky.
9,1,Winter Evergreens,4/30/1986,9.2,6,"Join Bob Ross as he creates a beautiful snowy landscape with stately evergreens, warmed by winter sun hanging low over distant mountains."
9,2,Surf's Up,5/7/1986,,6,"Feel the salt spray as Bob Ross paints ocean waves under abundant clouds, rolling in to spend their energy against sand and rock."
9,3,Red Sunset,5/14/1986,,6,"Warm light in sky and clouds makes this a glowing, fiery landscape, Bob Ross teaches the use of his technique on black canvas."
9,4,Meadow Road,5/21/1986,,6,Majestic snow-covered peaks and evergreens loom over lush green grasslands as Bob Ross takes you into his world of natural beauty.
9,5,Winter Oval,5/28/1986,8.4,6,"A beautiful mountain painting in an oval - with a surprising twist, as Bob Ross creates a lonely cabin embraced by lovely lacy bushes."
9,6,Secluded Beach,6/4/1986,,6,Bob Ross teaches us the secret of his wet-on-wet technique while creating a restless ocean crashing against a rugged rocky coastline.
9,7,Forest Hills,6/11/1986,,6,"Strong mountains, proud evergreens and luxurious trees and bushes hug the velvety smooth foothills in today's Bob Ross masterpiece."
9,8,Little House by the Road,6/18/1986,8.2,6,"Bob Ross paints distant, rolling hills and an old, tired cabin under happy, shade trees. A weathered fence with shadows completes this sunny scene."
9,9,Mountain Path,6/25/1986,,6,"Join Bob Ross for a happy half-hour as he creates one of his beautiful mountain and evergreen scenes, complete with path and ample bushes."
9,10,Country Charm,7/2/1986,,6,"Bob Ross brings springtime to the canvas, all around a tiny cabin set in a landscape of hazy green hills and cottony clouds."
9,11,Nature's Paradise,7/9/1986,,6,"Today Bob Ross creates a fantastic southwestern mountain scene with spectacular red peaks looming over a lazy, tree-lined stream."
9,12,Mountain by the Sea,7/16/1986,,6,Majestic mountains reign over a colorful seascape as Bob Ross creates one of the most challenging masterpieces ever painted in a half-hour.
9,13,Mountain Hideaway,7/23/1986,,6,"Bob Ross employs a unique technique, using both black and white base coats, to create a happy little stream tumbling down a rocky meadow."
10,1,Towering Peaks,9/3/1986,8.7,12,"A real Bob Ross classic - the majestic snow covered mountain, rolling foothills, leafy trees and bushes and serene lake."
10,2,Cabin at Sunset,9/10/1986,8,10,"Just a few quick, color-filled strokes and a little shanty with crisp evergreens and bright meadow appear - paint with Bob Ross."
10,3,Twin Falls,9/17/1986,7.9,9,"A mellow background gives way to chunky rock formations, trickling waterways and happy trees in this Bob Ross landscape."
10,4,Secluded Bridge,9/24/1986,8.2,9,"Take a walk with Bob Ross today, over a sweet old footbridge, across a little creek a'splashin' through the woodlands."
10,5,Ocean Breeze,10/1/1986,8.1,11,"Bob Ross shifts to a vertical canvas for a ""happy, little seascape"". Enormous clouds with shadows dominate the backround. Bob uses a #6 filbert brush to dance in bright, crashing waves and churning foam on a shore of stark rocks."
10,6,Autumn Woods,10/8/1986,8.3,7,A virtual explosion of color as Bob Ross paints blazing orange and gold trees below a ridge of magnificent mountain peaks.
10,7,Winter Solitude,10/15/1986,8.1,10,"What a delicate view of polar beauty; Bob Ross taps his brushes to make subtle hills, sleeping grasses and leafless trees."
10,8,Golden Sunset,10/22/1986,8.7,7,"A frozen pond and snow drifts would be so cold, except for the warm rich sky and late autumn foliage in this Bob Ross painting."
10,9,Mountain Oval,10/29/1986,8.3,7,"Guest painter Steve Ross delights us with his oval landscape - blue skies, frosty mountain, fresh foothills and polished lake."
10,10,Ocean Sunset,11/5/1986,8.6,8,"Bob Ross paints an awe-inspiring seascape with a stunning, sunset sky. A sparkling sheen of light penetrates cascading waves, to create a spectacular beach reflection. Bob's sea gulls now have ""a place to run."""
10,11,Triple View,11/12/1986,8.4,8,"Prepare the canvas just-so, and in the end you'll have a Bob Ross landscape, mighty mountain, homey cabin and meadow in a window."
10,12,Winter Frost,11/19/1986,8.6,10,"A cold mountain-scape, but Bob Ross adds a vibrant sun high in the sky, and your snowy paradise is warm and cozy."
10,13,Lakeside Cabin,11/26/1986,8.3,7,Kick off your shoes and let the fragrant grassy meadow tickle your toes - a fantastic Bob Ross summertime landscape to enjoy.
11,1,Mountain Stream,12/30/1986,8.5,6,A cool blue waterway winds effortlessly from the far away high peaks and evergreens; enjoy today's Bob Ross landscape.
11,2,Country Cabin,1/7/1987,8,6,"Bob Ross paints an old weathered dwelling today, burrowed deep in the snow and lined with protective evergreens."
11,3,Daisy Delight,1/14/1987,7.9,8,"Bob Ross paints a majestic stand of evergreen trees overlooking tiny, sweet little flowers growing on a sloping knoll."
11,4,Hidden Stream,1/21/1987,8.5,6,Find yourself in a place just like this on a warm summer day - Bob Ross creates clear sky and shade trees by a nice swimming spot.
11,5,Towering Glacier,1/28/1987,8.5,6,"An immense ice-draped mountain is Bob Ross' main focus, with grass covered sloping hills and chipper waterfall too!"
11,6,Oval Barn,2/4/1987,8,6,"A happy little winterscape, inside a happy little oval - with homey barn and lacy bushes -- another real Bob Ross classic"
11,7,Lakeside Path,2/11/1987,8.3,6,Misty background evergreens and cheerful blue sky give Bob Ross the perfect setting for this lovely birch tree painting.
11,8,Sunset Oval,2/18/1987,9.2,6,"Bob Ross uses a golden selection of colors in this gorgeous fall mountain scene, all within a cleverly different oval shape on canvas."
11,9,Winter Barn,2/25/1987,8.3,6,The soft sky and snow-blanketed ground give this cozy barn a quiet place to sleep and dream awhile; Bob Ross paint brushes make it happen.
11,10,Sunset Over the Waves,3/4/1987,8.7,7,"A fantastic Bob Ross seascape today - enjoy the golden, pink and mauve tones in the sky and crashing waves."
11,11,Golden Glow,3/11/1987,8.6,7,Even a tiny shanty by the pond can be a warm place in the dead of winter - Bob Ross shows us how to make a snow scene glow!
11,12,Roadside Barn,3/18/1987,8,8,Follow the old dirt road to that quaint country barn nestled in nature's greenery - Bob Ross paints your destination today.
11,13,Happy Accident,3/25/1987,8.6,7,"Supple sky, fluffy trees and playful rushing river are created by Bob Ross, simply from correcting common mistakes on canvas."
12,1,Golden Knoll,4/29/1987,7.8,6,Bob Ross paints a beautiful monochromatic scene with delicate leafless trees and rich grassy meadow cuddling a sweet cottage.
12,2,Mountain Reflections,5/6/1987,,6,"With his trusty brushes, Bob Ross takes us to a beautiful lake hideaway nestled below a towering mountain."
12,3,Secluded Mountain,5/13/1987,8.4,6,"Spend a relaxing half-hour with Bob Ross as he paints a mountain scene with soft, sloping grass cover, crystal lake and rocky banks."
12,4,Bright Autumn Trees,5/20/1987,8.8,6,"A real viewer favorite, Bob Ross teaches us how to capture the exciting colors of autumn with trees, trees and trees galore!"
12,5,Black Seascape,5/27/1987,8.4,7,Watch and learn as Bob Ross creates crashing waves in this moonlit setting - see what a simple black canvas can do.
12,6,Steep Mountains,6/3/1987,,7,"In this painting, Bob Ross presents a most statuesque ridge of peaks overlooking a little country home by the cove."
12,7,Quiet Mountain River,6/10/1987,8.4,7,"So quickly, Bob Ross paints this beautiful and peaceful mountain valley - so many layers and layers on the canvas."
12,8,Evening Waterfall,6/17/1987,8.8,7,Bob Ross shares with us a truly unique 'frame' idea as he creates a fantastic river with rapids on black canvas.
12,9,Tropical Seascape,6/24/1987,8.8,6,"Palm trees sway in the warm breeze as Bob Ross teaches us to paint a beautiful, sunny exotic little ocean masterpiece."
12,10,Mountain at Sunset,7/1/1987,8.8,6,Spend a half-hour with Bob Ross as he demonstrates the creation of the perfect brown-toned mountain scene - warm and wonderful!
12,11,Soft Mountain Glow,7/8/1987,9,6,"Bob Ross' project for today is an almost feathery, tranquil landscape setting at the base of a towering mountain."
12,12,Mountain in an Oval,7/15/1987,,6,Watch as Bob Ross treats us to a mountain lake masterpiece enclosed in an oval - with bountiful foliage and bushes bursting out!
12,13,Winter Mountain,7/22/1987,8.1,7,"Bob Ross' icy-blue mountains, evergreens and lacy-like bush clusters capture the mood of a cold snowy day."
13,1,Rolling Hills,9/2/1987,8.8,7,Bob Ross' brushes captivate the graceful and uncommon qualities of distant sloping hills and a peaceful nearby lake.
13,2,Frozen Solitude,9/9/1987,8.8,7,"A snowy mountain range, an ice-covered lake, and a lost little cabin combine to create a wintry testimony to Bob Ross' artistic magic."
13,3,Meadow Brook,9/16/1987,,7,Bob Ross creates an innocent creek that slices its way across a landscape of color in a setting dreams are made of.
13,4,Evening at Sunset,9/23/1987,9.4,7,"The day's sun is almost gone, but Bob Ross finds what's left of it in this unusual blend of late afternoon tones."
13,5,Mountain View,9/30/1987,,7,Bob Ross' painting technique is at its best as he shows a rugged group of mountains peering down upon nature's lovely greenery.
13,6,Hidden Creek,10/7/1987,9,7,Bob Ross finds and captures on canvas the haunting loveliness of stalwart trees shielding a lonesome brook from the light.
13,7,Peaceful Haven,10/14/1987,8.8,7,"The undaunted splendor of sky, trees and lake has never been more beautifully portrayed than in this joyful Bob Ross creation."
13,8,Mountain Exhibition,10/21/1987,8.5,6,The mountains and the sky sing in harmony as Bob Ross' brushes tell a story of breathtaking hue and depth.
13,9,Emerald Waters,10/28/1987,8.1,7,Bob Ross uses beautiful shades of green that burst forth in this exciting and realistic display of nature's wonder.
13,10,Mountain Summit,11/4/1987,9.2,7,Snowy peaks point toward the heavens as Bob Ross surrounds all of this with a happy gathering of landscape finery.
13,11,Cabin Hideaway,11/11/1987,8.8,7,Bob Ross' easy method once again reveals the splendor of a little farm home in a winter wonderland and soft purple hills.
13,12,Oval Essence,11/18/1987,9.3,6,Bob Ross' dramatic use of blue tones results in an emotional depiction of stark waves at night - all tucked inside an oval shape.
13,13,Lost Lake,11/25/1987,9.2,6,Bob Ross finds a barely visible lake being hugged by snowy mountains and some of nature's finest greenery.
14,1,Distant Mountains,12/30/1987,9,6,"Bob Ross will enchant you as he captures, on the canvas, a bright and cheery mountain scene right out of your dreams."
14,2,Meadow Brook Surprise,1/6/1988,,6,"A timid little brook winds its way through a golden grassland created by Bob Ross' precise, but easy-to-learn technique."
14,3,Mountain Moonlight Oval,1/13/1988,,6,The mysterious night sky is pierced by amazing lunar rays which Bob Ross uses to illuminate a mighty mountain.
14,4,Snowy Solitude,2/20/1988,,6,"A snow-covered winter fantasy land seems so real, and Bob Ross shows you how easy his special painting technique can be."
14,5,Mountain River,1/27/1988,8.8,6,Faraway peaks appear to almost float amongst the clouds as Bob Ross creates a gently flowing river splashing into the foreground.
14,6,Graceful Mountains,2/3/1988,,6,Get caught up in the magic as you watch Bob Ross produce a snowy summit and beautiful lake surrounded by shades of greenery.
14,7,Windy Waves,2/10/1988,,6,Bob Ross creates palm trees that yield to stiff sea breezes as a sky of ominous clouds loom in the background.
14,8,On a Clear Day,2/17/1988,,6,Bob Ross' striking color contrasts create a scene that appears to thaw under the bright sun of a late winter's day.
14,9,Riverside Escape Oval,2/24/1988,,6,Share the excitement of discovering a path leading to the edge of a quiet river - in an oval! - with favorite painter Bob Ross.
14,10,Surprising Falls,3/2/1988,,6,"Bob Ross' son, Steven, paints a mountain adorned with a waterfall and autumn foliage."
14,11,Shadow Pond,3/9/1988,,6,Bob Ross chooses to make a pond in the middle of a darkened forest the subject of today's mood-evoking creation.
14,12,Misty Forest Oval,3/16/1988,,6,"The delicate use of beautiful shades of lavender and green makes this glimpse inside a forest, with Bob Ross, an enjoyable challenge."
14,13,Natural Wonder,3/23/1988,,6,"Bob Ross combines the simple elements of a sky, a mountain, and a lake to produce this ultra-soft tribute to nature."
15,1,Splendor of Winter,4/27/1988,8.6,6,Bob Ross paints a picture of winter scenery.
15,2,Colors of Nature,5/4/1988,,6,"Bob Ross uses a little imagination and lots of color to create this soft, luxurious early autumn lake scene."
15,3,Grandpa's Barn,5/11/1988,8.6,6,Old-time memories are conjured up by the sight of this lonesome big barn that Bob Ross places on the edge of a forest.
15,4,Peaceful Reflections,5/18/1988,8.8,6,"Bob Ross uncovers the extraordinary loveliness of nature, reflected in the mirror surface of a lake in front of a mountain."
15,5,Hidden Winter Moon Oval,5/25/1988,9.3,6,"The effective use of striking blue tones allows Bob Ross to produce a winter night scene, complete with sweet cabin, inside an oval!"
15,6,Waves of Wonder,6/1/1988,8,6,The versatility of Bob Ross' easy method is dramatically illustrated by this mighty tide crashing into a rock-lined shore.
15,7,Cabin by the Pond,6/8/1988,,6,Bob Ross creates a fisherman's hideaway in the form of a secluded shanty-home nestled beside a smooth little lake.
15,8,Fall Stream,6/15/1988,,6,"A spunky little river meanders its way through an autumn hillside bursting with splashes of color, as only Bob Ross can create!"
15,9,Christmas Eve Snow,6/22/1988,8.6,6,Bob Ross gently places a little old church house upon a bed of snow in front of giant frost-covered mountains in the background.
15,10,Forest Dawn Oval,6/29/1988,,6,Bob Ross allows the greenery of a deep grove to be barely visible in the light of early morning - all tucked inside an oval.
